Kode Pesanan,Status Pesanan,Status Terverifikasi,Waktu Pesanan,Waktu Pesanan Selesai,Waktu Pesanan Terverifikasi,Kode Produk,Nama Produk,ID Model,L1 Kategori Global,L2 Kategori Global,L3 Kategori Global,Kode Promo,Harga(Rp),Jumlah,Nama Affiliate,Username Affiliate,MCN Terhubung,ID Komisi Pesanan,Partner Promo,Jenis Promo,Nilai Pembelian(Rp),Jumlah Pengembalian(Rp),Tipe Pesanan,Estimasi Komisi per Produk(Rp),Estimasi Komisi Affiliate per Produk(Rp),Persentase Komisi Affiliate per Produk,Estimasi Komisi MCN per Produk(Rp),Persentase Komisi MCN per Produk,Estimasi Komisi per Pesanan(Rp),Estimasi Komisi Affiliate per Pesanan(Rp),Estimasi Komisi MCN per Pesanan(Rp),Catatan Produk,Platform,Tingkat Komisi,Pengeluaran(Rp),Status Pemotongan,Metode Pemotongan,Waktu Pemotongan
250612C09WY77T,Sedang Diproses,Sah,2025-06-12 14:30:51,,,26957393804,TaffLED Lampu Tidur LED EU Plug Sensor Cahaya Cool White 250V 0.5W - L200,215296748937,Perlengkapan Rumah,Lampu,,,13500,1,xtend1234,xtend1234,,79104187,,Komisi Produk Penjual,13000,0,Pesanan Tidak Langsung,0,0,6%,0,0%,0,0,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,Others,6%,0,,,
250612BTV4317J,Selesai,Tidak Sesuai,2025-06-12 12:53:37,2025-06-13 20:24:36,2025-06-13 09:28:07,28707645950,AsyPets Ember Lipat Water Bucket Foldable Collapsible 10L - ST362,195303552446,Perlengkapan Rumah,Perawatan Rumah,"Basin, Ember, & Gayung Air",,69800,1,Angelia Marceline,angelmarceline,,79104890,,Komisi Produk Penjual,67914,0,Pesanan Tidak Langsung,0,0,6%,0,0%,0,0,0,Pesanan tidak sesuai,Websites,6%,0,,,
250612BMW4WP4U,Sedang Diproses,Sah,2025-06-12 11:06:50,,,26006118256,Aswei Cetakan Kotak Penyimpanan Es Batu Jelly Kotak Double Layer 48 Grid Quick Press Dengan Tutup dan Pegangan,187669090673,Perlengkapan Rumah,Perlengkapan Dapur,Perlengkapan Dapur Lainnya,,96000,1,Si Kecil,sikecil2306,,79104175,,Komisi Produk Penjual,95500,0,Pesanan Langsung,6685,6685,7%,0,0%,6685,6685,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,Shopeevideo-Shopee,7%,7420,Menunggu Pemotongan,,
250612ARYMUQYH,Sedang Diproses,Sah,2025-06-12 02:47:09,,,27508822650,Taffware Keypad Numeric Wireless 2.4 GHz 10M - i120,79454844997,Komputer & Aksesoris,Keyboard & Mouse,Keyboard,,53000,1,YouTube Shopping,youtube_shopping_id,,79104348,,Komisi Produk Penjual,52500,0,Pesanan Tidak Langsung,0,0,6%,0,0%,0,0,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,Websites,6%,0,,,
250611A6UCS7WJ,Sedang Diproses,Sah,2025-06-11 21:22:39,,,24234685532,TaffLED Fitting Lampu Bohlam LED EU Plug 220V 25A E27 with Switch - HF-666,226643130086,Perlengkapan Rumah,Lampu,,,15000,1,TempoTabon,tempotabon,,79104538,,Komisi Produk Penjual,14500,0,Pesanan Tidak Langsung,0,0,6%,0,0%,0,0,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,Others,6%,0,,,
250611A4J4NX9H,Sedang Diproses,Sah,2025-06-11 20:41:41,,,28707645950,AsyPets Ember Lipat Water Bucket Foldable Collapsible 10L - ST362,195303552446,Perlengkapan Rumah,Perawatan Rumah,"Basin, Ember, & Gayung Air",,69800,2,Opera Norway,opear.adx,,79104890,,Komisi Produk Penjual,132145,0,Pesanan Tidak Langsung,0,0,6%,0,0%,0,0,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,Others,6%,0,,,
2506119XGS93GU,Selesai,Sah,2025-06-11 18:53:33,2025-06-14 08:15:39,2025-06-14 08:15:39,27508822650,Taffware Keypad Numeric Wireless 2.4 GHz 10M - i120,79454844997,Komputer & Aksesoris,Keyboard & Mouse,Keyboard,,53000,1,deepleaper698,deepleaper698,,79104348,,Komisi Produk Penjual,48500,0,Pesanan Tidak Langsung,0,0,6%,0,0%,0,0,0,,Others,6%,0,,,
2506119MEUKWWX,Sedang Diproses,Sah,2025-06-11 15:53:31,,,27508822651,One Two Cups Teko Kopi Coffee Server V60 Drip Pour Borosilicate Glass - AI101,226685582967,Perlengkapan Rumah,Perlengkapan Dapur,"Peralatan Teh, Kopi, & Bartending",,29100,1,interspaceindonesia2,interspaceindonesia2,,79104347,,Komisi Produk Penjual,26312,0,Pesanan Tidak Langsung,0,0,6%,0,0%,0,0,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,Others,6%,0,,,
25061194PR84MP,Sedang Diproses,Sah,2025-06-11 11:11:36,,,27205950510,[BISA COD] Taffhome Bel Pintu Rumah Tanpa Kabel 36 Nada Wireless Door Bell Waterproof EU Plug,236570580263,Elektronik,Kelistrikan,Bel,,65000,1,YouTube Shopping,youtube_shopping_id,,79104169,,Komisi Produk Penjual,64500,0,Pesanan Tidak Langsung,0,0,6%,0,0%,0,0,0,Status produk ini sedang ditinjau. Komisi hanya akan dibayarkan ketika pesanan selesai.,YouTube,6%,0,,,
25061191NR27M0,Selesai,Sah,2025-06-11 10:17:22,2025-06-13 09:55:40,2025-06-13 09:55:40,28555948012,Tas Pendingin Pemanas Makanan Cooler Heater Bag Thermal Insulated Bag,233023801710,Perlengkapan Rumah,Perlengkapan Dapur,Tempat Penyimpanan Makanan,,23800,1,Wilda Tri Nuriyah,wildatrinryhh_,,79104118,,Komisi Produk Penjual,23800,0,Pesanan Tidak Langsung,0,0,6%,0,0%,0,0,0,,Websites,6%,0,,,
